,x
b_Intercept,1.00142402668506
b_log_price,1.00092593499668
b_Crisp,1.00238145009913
b_Full,1.00071220580174
b_Rich,1.00109666651682
b_Soft,1.00073139296019
sd_variety__Intercept,1.00550466542573
sigma,1.00004117625144
Intercept,1.00752593492363
r_variety[Alsace.white.blend,Intercept],1.00028517113757
r_variety[Bordeaux-style.Red.Blend,Intercept],1.00584561958056
r_variety[Bordeaux-style.White.Blend,Intercept],1.00278443964854
r_variety[Cabernet.Franc,Intercept],1.00073914366997
r_variety[Cabernet.Sauvignon,Intercept],1.00147122867783
r_variety[Champagne.Blend,Intercept],1.00418477153238
r_variety[Chardonnay,Intercept],1.00509728167338
r_variety[Chenin.Blanc,Intercept],1.00146961588183
r_variety[Chenin.Blanc-Chardonnay,Intercept],1.00138211710874
r_variety[Gamay,Intercept],1.00129455778323
r_variety[Gewürztraminer,Intercept],1.00068734072816
r_variety[Grenache,Intercept],1.00220050411748
r_variety[Malbec,Intercept],1.00181617202804
r_variety[Malbec-Merlot,Intercept],1.00152138696224
r_variety[Marsanne,Intercept],1.00234281719068
r_variety[Melon,Intercept],1.00025312475131
r_variety[Merlot,Intercept],1.00079609077965
r_variety[Muscat,Intercept],1.00041258407721
r_variety[Petit.Manseng,Intercept],0.999798955739283
r_variety[Pinot.Blanc,Intercept],1.000290501813
r_variety[Pinot.Gris,Intercept],1.00135161935672
r_variety[Pinot.Noir,Intercept],1.00663868899643
r_variety[Red.Blend,Intercept],1.00046155928952
r_variety[Rhône-style.Red.Blend,Intercept],1.00400630277228
r_variety[Rhône-style.White.Blend,Intercept],1.00250466135131
r_variety[Riesling,Intercept],1.00275568493613
r_variety[Rosé,Intercept],1.006057897981
r_variety[Sauvignon.Blanc,Intercept],1.00379243279068
r_variety[Sparkling.Blend,Intercept],1.00273222206574
r_variety[Sylvaner,Intercept],1.00233437895734
r_variety[Syrah,Intercept],1.00250208919725
r_variety[Tannat,Intercept],1.00180854277137
r_variety[Tannat-Cabernet,Intercept],1.00025178962666
r_variety[Viognier,Intercept],1.00074941544077
r_variety[White.Blend,Intercept],1.00203675404933
lprior,1.00270561327577
lp__,1.00493219897579
